reviewId,userName,content,score,thumbsUpCount,at,appVersion,bank_name,bank_key,country,scraped_at
fc4063dc-9a99-4308-a9ec-32545e3eb851,regina bonareri,The app was better at first but a few days later it wasn't unreliable. Keep crashing all the time and nothing can be done unless you visit a nearby branch where they end up not helping anyway. Never using it again,1,0,2026-03-06 03:12:45,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
fa7da35a-44f7-4e9c-8c6a-ea7520c9d57b,Mohamed Abdegayum,"very bad app, I'm not able to do any transactions for the last week, I'm traveling and can go to the bank, very slow response from the customer service, no response for email and the problem is still not solved.",1,3,2026-02-25 20:24:42,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
efe8728f-90ff-45a8-a057-4ef9af2aeacb,Derick Mwaura,"I can't get an option to input code for my PayPal withdrawal,they just show code sent to the phone number but I can't input the code sent,also if I tap the more options button, still on the PayPal withdrawal, nothing shows,it should display the email option for the code,fix this",1,0,2026-03-22 15:33:15,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
5d3ca36a-c6c4-4fbf-80cc-ea80cb32b485,Dritoo Innocent,I want to thank you Equity Bank. It's Very important for a Bank account to allow airtime purchase any time.. It's the best Banking app So far for me for the past few years. Please Do not Hesitate to Download this app it's is the Best Banking app in Uganda per now,5,3,2026-03-07 07:29:02,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
3dcf83fe-17b7-4473-8cdd-57190c0913c7,Emily Amata,"The app keeps delaying and even keeps not respond when signing in,the app is just a mess it keeps telling me I'm on CRB and ive cleared everything and trying to update it there's nothing there,i can never recommend anyone to use this mobile app...",1,0,2026-03-16 16:34:58,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
89825a2b-cc54-43a3-a2ca-39f86fdce6ac,kibuuka Apollo,You disabled the receipt of the OTP via email. That is not a good thing because it limits options and slows down work. Reinstate the option please.,2,0,2026-03-13 09:27:01,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
8b7137f0-680a-49a9-bfd8-a8156a9265c0,FreyPips “Blues King and tech”,"Useless app, I tried to register; requested for OTP but I cannot put in the OTP. Please fix that, it's really annoying especially from a bank with your reputation 😒",1,0,2026-03-10 12:21:11,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
9d2301f4-ebb0-4589-ab9d-597a1ab7e616,Mandy Grace,"Am from Rwanda, so this app i would have rated it with 5 stars but when the app have been updated, i updated it but when i opened it, i went to borrow session, and it can't even show me the available loan nor permit me to borrow that 1 month loan",4,13,2026-03-13 12:30:45,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
03a5dd06-619c-45fa-827b-3e1468411392,Chimita Fadhili,makes work easier unlike going to the bank. it would have been 5 stars but I don't like a long process when sending money to my mpesa I equally think it would've been better to pay by biometrics,4,1,2026-03-08 16:59:48,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
8edc6e09-2331-4316-825b-3b2a4def9dd8,Sure Faith,Not so reliable for emergency transactions. The app may fail to open when you need it most. Used to be good but not anymore,3,1,2026-03-06 13:00:54,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
2c5bd32c-483f-4b09-bced-552b2f237e91,evance ochieng,"I am disappointed,the app doesn't allow me to send money to another number,it takes time at the convention stage and returns you to start a fresh",1,0,2026-03-14 08:37:12,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
66bea866-a6f4-4968-bb8d-6038771925d9,Ernest NDAYISHIMIYE,"this is a good app but I have an issue with auto verification whenever I receive an OTP for verification, I'm not able to fill the numbers in the given slot what shall I do?",5,1,2026-03-10 19:30:49,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
f8bbb6c3-fedb-4c3c-9de0-526f2746811c,cosmas obino (ZYNTEX AGENCIES),"the app is good, but buying of float to mpesa still missing considering it the most useful part as far as Telco agents are concerned .. why not integrate it instead of using *247#to access the service",3,1,2026-02-27 09:08:05,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
f4e74ef8-2918-4a26-b4f2-fffdf04616e6,Alexandria Okoth,what I don't understand is if this is meant to make banking easier why is it so frustrating to simply sign in. You guys need to do better just getting access to ones account is a hustle I did email you guys yet nothing has been done,1,0,2026-03-03 10:42:45,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
18c2adb9-c187-46c6-94b9-2d92cb57e08b,Ambrose Songah,"the previous app was supurb.this one can reach at a point and fail to open up.or opens up ,transact and fail to confirm your transactions.am a disappointed man at a point I need money urgently",2,1,2026-03-10 19:42:00,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
a528eb80-c792-4583-b390-bdbce374c23b,Daniel Mumbere,The app is smooth and easy to use. It handles all my banking needs and I never need to step into the banking hall,5,0,2026-03-06 21:35:23,0.0.402,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
506e8232-4d0b-4518-98f6-cc601d065f8d,Teddy Maina,"very unreliable when you need it, it fails you, system failures now and then, work on that please.",1,0,2026-03-10 19:24:44,0.0.404,Equity Bank,equity_bank,Kenya,2026-03-27 17:19:59.368574
